@relation 'EPA Eastern Lakes Survey - 1984 - discretized-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F1'

@attribute aluminum {(-inf-11.4],(11.4-17.2],(17.2-23.95],(23.95-30.55],(30.55-38.95],(38.95-47.2],(47.2-61.1],(61.1-83.95],(83.95-113.6],(113.6-166.8],(166.8-inf)}
@attribute calcium {(-inf-0.9225],(0.9225-1.245],(1.245-1.588],(1.588-1.9185],(1.9185-2.2605],(2.2605-2.8045],(2.8045-3.6165],(3.6165-4.7805],(4.7805-6.7075],(6.7075-11.93],(11.93-inf)}
@attribute carbonate {(-inf-0.0005],(0.0005-0.0055],(0.0055-0.0155],(0.0155-0.0345],(0.0345-0.0645],(0.0645-0.1045],(0.1045-0.183],(0.183-0.347],(0.347-0.79],(0.79-3.0525],(3.0525-inf)}
@attribute color {(-inf-9],(9-10.5],(10.5-15.5],(15.5-20.5],(20.5-25.25],(25.25-31],(31-39.5],(39.5-45.75],(45.75-64.5],(64.5-99.5],(99.5-inf)}
@attribute elevation {(-inf-37.35],(37.35-118.45],(118.45-216.7],(216.7-284.25],(284.25-333.278],(333.278-373.7],(373.7-417.15],(417.15-467.75],(467.75-499.75],(499.75-538.45],(538.45-inf)}
@attribute inlets {zero,one,few,many}
@attribute potassium {(-inf-0.23375],(0.23375-0.3005],(0.3005-0.352],(0.352-0.4055],(0.4055-0.464],(0.464-0.537],(0.537-0.6305],(0.6305-0.736],(0.736-0.9245],(0.9245-1.395],(1.395-inf)}
@attribute area {(-inf-5.649997],(5.649997-7.349998],(7.349998-9.349994],(9.349994-11.649997],(11.649997-14.649997],(14.649997-19.499992],(19.499992-27.149994],(27.149994-40.699982],(40.699982-77.649963],(77.649963-159.999939],(159.999939-inf)}
@attribute type {lake,pond,reservoir,swamp}
@attribute volume {(-inf-0.0585],(0.0585-0.0985],(0.0985-0.1475],(0.1475-0.206],(0.206-0.2965],(0.2965-0.4375],(0.4375-0.762],(0.762-1.138],(1.138-2.313],(2.313-6.572],(6.572-inf)}
@attribute latitude {(-inf-36.921371],(36.921371-41.646378],(41.646378-42.530548],(42.530548-43.793045],(43.793045-44.623596],(44.623596-45.331924],(45.331924-45.828033],(45.828033-46.198318],(46.198318-46.492615],(46.492615-47.594848],(47.594848-inf)}
@attribute longitude {(-inf--91.773162],(-91.773162--90.859406],(-90.859406--89.315124],(-89.315124--86.188843],(-86.188843--82.676361],(-82.676361--75.410675],(-75.410675--73.224945],(-73.224945--71.53537],(-71.53537--70.56662],(-70.56662--69.28537],(-69.28537-inf)}
@attribute ammonium {(-inf-0.0005],(0.0005-0.01025],(0.01025-0.0175],(0.0175-0.02075],(0.02075-0.02575],(0.02575-0.03025],(0.03025-0.0395],(0.0395-0.0505],(0.0505-0.086],(0.086-0.1355],(0.1355-inf)}
@attribute nitrate {(-inf-0.0005],(0.0005-0.0075],(0.0075-0.01525],(0.01525-0.02575],(0.02575-0.0395],(0.0395-0.0585],(0.0585-0.0805],(0.0805-0.1165],(0.1165-0.201],(0.201-0.422],(0.422-inf)}
@attribute outlets {zero,few,one}
@attribute precipitation {(-inf-0.7755],(0.7755-0.808],(0.808-0.8665],(0.8665-0.8845],(0.8845-0.8855],(0.8855-0.9455],(0.9455-0.9615],(0.9615-1.0045],(1.0045-1.094],(1.094-1.217],(1.217-inf)}
@attribute runoff {5,10,15,20,25,30}
@attribute sulfate {(-inf-1.565],(1.565-2.255],(2.255-2.655],(2.655-3.075],(3.075-3.535],(3.535-3.9655],(3.9655-4.465],(4.465-5.265],(5.265-6.1535],(6.1535-7.833],(7.833-inf)}
@attribute ph {low,high}

@data
(11.4-17.2],(1.245-1.588],(0.0005-0.0055],(10.5-15.5],(467.75-499.75],zero,(0.6305-0.736],(19.499992-27.149994],lake,(0.762-1.138],(45.331924-45.828033],(-90.859406--89.315124],(0.0175-0.02075],(0.0585-0.0805],zero,(0.8845-0.8855],10,(4.465-5.265],low
(166.8-inf),(1.588-1.9185],(0.0005-0.0055],(64.5-99.5],(118.45-216.7],one,(-inf-0.23375],(9.349994-11.649997],pond,(0.0985-0.1475],(44.623596-45.331924],(-70.56662--69.28537],(0.03025-0.0395],(0.02575-0.0395],one,(0.9615-1.0045],20,(3.075-3.535],low
(30.55-38.95],(0.9225-1.245],(0.0005-0.0055],(9-10.5],(467.75-499.75],zero,(0.464-0.537],(40.699982-77.649963],lake,(1.138-2.313],(45.828033-46.198318],(-90.859406--89.315124],(0.0175-0.02075],(0.0805-0.1165],zero,(0.8845-0.8855],10,(3.075-3.535],low
(17.2-23.95],(-inf-0.9225],(0.0005-0.0055],(15.5-20.5],(333.278-373.7],zero,(0.464-0.537],(7.349998-9.349994],lake,(0.0985-0.1475],(46.492615-47.594848],(-91.773162--90.859406],(0.0505-0.086],(0.0585-0.0805],zero,(0.8665-0.8845],15,(3.075-3.535],low
(113.6-166.8],(1.588-1.9185],(0.0005-0.0055],(64.5-99.5],(467.75-499.75],few,(0.736-0.9245],(11.649997-14.649997],lake,(1.138-2.313],(46.198318-46.492615],(-89.315124--86.188843],(0.0505-0.086],(0.201-0.422],zero,(0.8845-0.8855],10,(3.535-3.9655],low
(17.2-23.95],(-inf-0.9225],(0.0005-0.0055],(20.5-25.25],(499.75-538.45],zero,(0.352-0.4055],(5.649997-7.349998],lake,(0.1475-0.206],(45.828033-46.198318],(-90.859406--89.315124],(-inf-0.0005],(-inf-0.0005],zero,(0.8845-0.8855],10,(1.565-2.255],low
(113.6-166.8],(0.9225-1.245],(0.0005-0.0055],(9-10.5],(538.45-inf),zero,(-inf-0.23375],(5.649997-7.349998],pond,(-inf-0.0585],(44.623596-45.331924],(-70.56662--69.28537],(0.01025-0.0175],(0.0075-0.01525],one,(0.9615-1.0045],25,(3.535-3.9655],low
(61.1-83.95],(1.245-1.588],(0.0005-0.0055],(45.75-64.5],(499.75-538.45],one,(0.736-0.9245],(7.349998-9.349994],lake,(0.206-0.2965],(45.828033-46.198318],(-89.315124--86.188843],(0.0395-0.0505],(0.0005-0.0075],one,(0.8845-0.8855],10,(3.535-3.9655],low
(166.8-inf),(1.245-1.588],(0.0005-0.0055],(99.5-inf),(-inf-37.35],zero,(0.537-0.6305],(-inf-5.649997],pond,(-inf-0.0585],(43.793045-44.623596],(-70.56662--69.28537],(0.086-0.1355],(0.0585-0.0805],one,(0.9615-1.0045],20,(2.655-3.075],low
(83.95-113.6],(1.588-1.9185],(0.0005-0.0055],(45.75-64.5],(118.45-216.7],one,(0.537-0.6305],(14.649997-19.499992],pond,(0.762-1.138],(42.530548-43.793045],(-73.224945--71.53537],(0.03025-0.0395],(0.0075-0.01525],one,(1.0045-1.094],20,(4.465-5.265],low
(61.1-83.95],(1.9185-2.2605],(0.0005-0.0055],(64.5-99.5],(216.7-284.25],zero,(0.352-0.4055],(9.349994-11.649997],lake,(0.0585-0.0985],(46.492615-47.594848],(-86.188843--82.676361],(0.03025-0.0395],(0.201-0.422],zero,(1.094-1.217],15,(3.535-3.9655],low
(23.95-30.55],(0.9225-1.245],(0.0005-0.0055],(15.5-20.5],(467.75-499.75],zero,(0.736-0.9245],(9.349994-11.649997],lake,(0.2965-0.4375],(45.331924-45.828033],(-90.859406--89.315124],(0.0175-0.02075],(0.0805-0.1165],zero,(0.8845-0.8855],10,(3.535-3.9655],low
(-inf-11.4],(-inf-0.9225],(0.0005-0.0055],(-inf-9],(-inf-37.35],zero,(0.464-0.537],(7.349998-9.349994],pond,(0.206-0.2965],(41.646378-42.530548],(-71.53537--70.56662],(0.0005-0.01025],(0.0075-0.01525],one,(0.9455-0.9615],20,(5.265-6.1535],low
(61.1-83.95],(1.245-1.588],(0.0005-0.0055],(39.5-45.75],(499.75-538.45],zero,(0.352-0.4055],(5.649997-7.349998],lake,(0.1475-0.206],(46.198318-46.492615],(-90.859406--89.315124],(0.0505-0.086],(0.0805-0.1165],zero,(0.8845-0.8855],10,(3.075-3.535],low
(30.55-38.95],(2.2605-2.8045],(0.0005-0.0055],(9-10.5],(373.7-417.15],one,(0.352-0.4055],(27.149994-40.699982],pond,(2.313-6.572],(36.921371-41.646378],(-75.410675--73.224945],(0.0005-0.01025],(0.0395-0.0585],one,(0.9615-1.0045],20,(6.1535-7.833],low
(38.95-47.2],(-inf-0.9225],(0.0005-0.0055],(15.5-20.5],(284.25-333.278],zero,(0.6305-0.736],(11.649997-14.649997],lake,(0.206-0.2965],(46.492615-47.594848],(-91.773162--90.859406],(0.0395-0.0505],(0.0585-0.0805],zero,(0.8665-0.8845],15,(3.535-3.9655],low
(166.8-inf),(1.245-1.588],(0.0005-0.0055],(99.5-inf),(417.15-467.75],zero,(0.352-0.4055],(19.499992-27.149994],lake,(0.4375-0.762],(47.594848-inf),(-inf--91.773162],(0.0005-0.01025],(0.1165-0.201],one,(0.7755-0.808],5,(3.075-3.535],low
(30.55-38.95],(0.9225-1.245],(0.0005-0.0055],(20.5-25.25],(373.7-417.15],zero,(0.3005-0.352],(7.349998-9.349994],lake,(0.0585-0.0985],(46.492615-47.594848],(-89.315124--86.188843],(-inf-0.0005],(0.0395-0.0585],zero,(0.808-0.8665],15,(2.655-3.075],low
(30.55-38.95],(1.9185-2.2605],(0.0005-0.0055],(15.5-20.5],(118.45-216.7],one,(0.537-0.6305],(5.649997-7.349998],pond,(-inf-0.0585],(41.646378-42.530548],(-73.224945--71.53537],(-inf-0.0005],(0.01525-0.02575],one,(0.9615-1.0045],25,(4.465-5.265],low
(17.2-23.95],(0.9225-1.245],(0.0005-0.0055],(15.5-20.5],(467.75-499.75],zero,(0.9245-1.395],(-inf-5.649997],lake,(0.0985-0.1475],(45.331924-45.828033],(-89.315124--86.188843],(0.03025-0.0395],(-inf-0.0005],zero,(0.8845-0.8855],10,(3.075-3.535],low
(17.2-23.95],(-inf-0.9225],(0.0055-0.0155],(20.5-25.25],(499.75-538.45],zero,(0.23375-0.3005],(-inf-5.649997],lake,(0.0985-0.1475],(45.828033-46.198318],(-89.315124--86.188843],(-inf-0.0005],(-inf-0.0005],zero,(0.8845-0.8855],10,(-inf-1.565],low
(11.4-17.2],(0.9225-1.245],(0.0005-0.0055],(10.5-15.5],(467.75-499.75],zero,(0.537-0.6305],(14.649997-19.499992],lake,(1.138-2.313],(45.828033-46.198318],(-90.859406--89.315124],(0.0395-0.0505],(0.201-0.422],zero,(0.8845-0.8855],10,(3.075-3.535],low
(83.95-113.6],(2.8045-3.6165],(0.0645-0.1045],(64.5-99.5],(118.45-216.7],one,(0.352-0.4055],(-inf-5.649997],pond,(-inf-0.0585],(43.793045-44.623596],(-70.56662--69.28537],(0.03025-0.0395],(0.01525-0.02575],zero,(0.9455-0.9615],20,(2.255-2.655],low
(61.1-83.95],(1.245-1.588],(0.0005-0.0055],(20.5-25.25],(118.45-216.7],few,(0.464-0.537],(14.649997-19.499992],pond,(0.0585-0.0985],(41.646378-42.530548],(-73.224945--71.53537],(-inf-0.0005],(0.02575-0.0395],one,(0.9615-1.0045],20,(4.465-5.265],low
(166.8-inf),(1.245-1.588],(0.0005-0.0055],(99.5-inf),(417.15-467.75],few,(0.23375-0.3005],(19.499992-27.149994],lake,(0.1475-0.206],(47.594848-inf),(-inf--91.773162],(-inf-0.0005],(0.201-0.422],zero,(0.7755-0.808],5,(3.535-3.9655],low
(47.2-61.1],(-inf-0.9225],(0.0055-0.0155],(39.5-45.75],(333.278-373.7],zero,(0.537-0.6305],(7.349998-9.349994],lake,(0.0985-0.1475],(46.492615-47.594848],(-91.773162--90.859406],(-inf-0.0005],(-inf-0.0005],zero,(0.808-0.8665],10,(-inf-1.565],low
(17.2-23.95],(0.9225-1.245],(0.0055-0.0155],(25.25-31],(333.278-373.7],zero,(-inf-0.23375],(11.649997-14.649997],lake,(0.1475-0.206],(46.198318-46.492615],(-91.773162--90.859406],(0.03025-0.0395],(0.0585-0.0805],one,(0.8665-0.8845],10,(1.565-2.255],low
(47.2-61.1],(1.245-1.588],(0.0005-0.0055],(9-10.5],(118.45-216.7],one,(0.736-0.9245],(5.649997-7.349998],pond,(-inf-0.0585],(41.646378-42.530548],(-73.224945--71.53537],(0.01025-0.0175],(-inf-0.0005],one,(0.9455-0.9615],20,(5.265-6.1535],low
(23.95-30.55],(-inf-0.9225],(0.0005-0.0055],(-inf-9],(-inf-37.35],zero,(0.464-0.537],(5.649997-7.349998],pond,(0.1475-0.206],(41.646378-42.530548],(-71.53537--70.56662],(0.01025-0.0175],(-inf-0.0005],one,(0.9455-0.9615],20,(5.265-6.1535],low
(83.95-113.6],(4.7805-6.7075],(0.0055-0.0155],(99.5-inf),(-inf-37.35],one,(1.395-inf),(7.349998-9.349994],lake,(0.0985-0.1475],(-inf-36.921371],(-82.676361--75.410675],(0.01025-0.0175],(0.0805-0.1165],one,(1.217-inf),5,(4.465-5.265],low
(38.95-47.2],(-inf-0.9225],(0.0005-0.0055],(-inf-9],(37.35-118.45],zero,(0.3005-0.352],(11.649997-14.649997],lake,(0.2965-0.4375],(44.623596-45.331924],(-69.28537-inf),(0.0175-0.02075],(0.0005-0.0075],zero,(1.217-inf),25,(1.565-2.255],low
(166.8-inf),(3.6165-4.7805],(0.0005-0.0055],(99.5-inf),(-inf-37.35],few,(0.9245-1.395],(159.999939-inf),lake,(2.313-6.572],(-inf-36.921371],(-82.676361--75.410675],(0.02075-0.02575],(0.1165-0.201],one,(1.217-inf),10,(7.833-inf),low
(11.4-17.2],(0.9225-1.245],(0.0055-0.0155],(10.5-15.5],(467.75-499.75],zero,(0.6305-0.736],(5.649997-7.349998],lake,(0.206-0.2965],(45.331924-45.828033],(-90.859406--89.315124],(0.0395-0.0505],(0.0585-0.0805],zero,(0.8845-0.8855],10,(2.655-3.075],low
(11.4-17.2],(0.9225-1.245],(0.0055-0.0155],(15.5-20.5],(467.75-499.75],zero,(0.6305-0.736],(7.349998-9.349994],lake,(0.2965-0.4375],(45.828033-46.198318],(-90.859406--89.315124],(0.0175-0.02075],(0.01525-0.02575],zero,(0.8845-0.8855],10,(2.255-2.655],low
(113.6-166.8],(1.245-1.588],(0.0055-0.0155],(39.5-45.75],(333.278-373.7],zero,(0.736-0.9245],(11.649997-14.649997],pond,(0.2965-0.4375],(45.331924-45.828033],(-70.56662--69.28537],(0.086-0.1355],(0.0075-0.01525],zero,(0.9615-1.0045],20,(3.9655-4.465],low
(166.8-inf),(0.9225-1.245],(0.0055-0.0155],(10.5-15.5],(467.75-499.75],zero,(0.464-0.537],(14.649997-19.499992],lake,(1.138-2.313],(45.828033-46.198318],(-90.859406--89.315124],(0.0395-0.0505],(0.0395-0.0585],zero,(0.8845-0.8855],10,(2.255-2.655],low
(38.95-47.2],(1.245-1.588],(0.0055-0.0155],(15.5-20.5],(118.45-216.7],one,(0.3005-0.352],(11.649997-14.649997],pond,(0.2965-0.4375],(42.530548-43.793045],(-71.53537--70.56662],(0.0505-0.086],(0.01525-0.02575],zero,(1.0045-1.094],15,(3.535-3.9655],low
(47.2-61.1],(2.2605-2.8045],(0.0055-0.0155],(64.5-99.5],(118.45-216.7],one,(0.9245-1.395],(-inf-5.649997],pond,(-inf-0.0585],(42.530548-43.793045],(-73.224945--71.53537],(0.02575-0.03025],(0.01525-0.02575],one,(1.094-1.217],20,(6.1535-7.833],low
(23.95-30.55],(0.9225-1.245],(0.0005-0.0055],(20.5-25.25],(333.278-373.7],zero,(0.6305-0.736],(-inf-5.649997],lake,(0.0585-0.0985],(45.828033-46.198318],(-91.773162--90.859406],(0.0005-0.01025],(0.0005-0.0075],zero,(0.8665-0.8845],10,(3.075-3.535],low
(166.8-inf),(2.8045-3.6165],(0.0055-0.0155],(99.5-inf),(417.15-467.75],zero,(0.4055-0.464],(5.649997-7.349998],lake,(0.0585-0.0985],(47.594848-inf),(-inf--91.773162],(0.0505-0.086],(0.201-0.422],zero,(0.7755-0.808],5,(1.565-2.255],low
(83.95-113.6],(0.9225-1.245],(0.0005-0.0055],(31-39.5],(417.15-467.75],one,(0.3005-0.352],(27.149994-40.699982],lake,(0.4375-0.762],(47.594848-inf),(-inf--91.773162],(-inf-0.0005],(-inf-0.0005],one,(0.7755-0.808],5,(2.255-2.655],low
(166.8-inf),(1.588-1.9185],(0.0055-0.0155],(99.5-inf),(499.75-538.45],one,(0.736-0.9245],(9.349994-11.649997],lake,(0.2965-0.4375],(46.198318-46.492615],(-90.859406--89.315124],(0.1355-inf),(0.1165-0.201],one,(0.8845-0.8855],10,(2.255-2.655],low
(47.2-61.1],(2.2605-2.8045],(0.0155-0.0345],(45.75-64.5],(118.45-216.7],one,(0.9245-1.395],(7.349998-9.349994],swamp,(-inf-0.0585],(42.530548-43.793045],(-71.53537--70.56662],(0.0505-0.086],(0.02575-0.0395],one,(1.0045-1.094],15,(3.9655-4.465],low
(61.1-83.95],(0.9225-1.245],(0.0005-0.0055],(45.75-64.5],(373.7-417.15],zero,(0.4055-0.464],(7.349998-9.349994],lake,(-inf-0.0585],(45.331924-45.828033],(-inf--91.773162],(0.0005-0.01025],(-inf-0.0005],zero,(0.808-0.8665],5,(-inf-1.565],low
(38.95-47.2],(1.588-1.9185],(0.0055-0.0155],(10.5-15.5],(499.75-538.45],one,(0.23375-0.3005],(19.499992-27.149994],lake,(0.2965-0.4375],(36.921371-41.646378],(-75.410675--73.224945],(0.01025-0.0175],(0.0395-0.0585],zero,(0.808-0.8665],20,(4.465-5.265],low
(166.8-inf),(0.9225-1.245],(0.0345-0.0645],(39.5-45.75],(538.45-inf),many,(0.4055-0.464],(14.649997-19.499992],lake,(0.2965-0.4375],(-inf-36.921371],(-86.188843--82.676361],(0.086-0.1355],(0.201-0.422],one,(1.094-1.217],30,(-inf-1.565],low
(38.95-47.2],(0.9225-1.245],(0.0055-0.0155],(31-39.5],(333.278-373.7],zero,(0.537-0.6305],(9.349994-11.649997],lake,(0.0985-0.1475],(44.623596-45.331924],(-91.773162--90.859406],(0.0005-0.01025],(0.0395-0.0585],zero,(0.808-0.8665],5,(1.565-2.255],low
(166.8-inf),(1.9185-2.2605],(0.0055-0.0155],(99.5-inf),(538.45-inf),one,(0.352-0.4055],(11.649997-14.649997],lake,(0.0585-0.0985],(47.594848-inf),(-90.859406--89.315124],(0.0395-0.0505],(0.201-0.422],zero,(0.7755-0.808],10,(2.655-3.075],low
(11.4-17.2],(0.9225-1.245],(0.0005-0.0055],(15.5-20.5],(333.278-373.7],zero,(0.352-0.4055],(11.649997-14.649997],lake,(0.4375-0.762],(46.492615-47.594848],(-91.773162--90.859406],(0.0005-0.01025],(0.0805-0.1165],zero,(0.808-0.8665],10,(3.075-3.535],low
(23.95-30.55],(0.9225-1.245],(0.0055-0.0155],(25.25-31],(284.25-333.278],zero,(-inf-0.23375],(-inf-5.649997],lake,(0.0585-0.0985],(46.198318-46.492615],(-inf--91.773162],(0.0395-0.0505],(0.0395-0.0585],zero,(0.808-0.8665],10,(-inf-1.565],low
(38.95-47.2],(1.588-1.9185],(0.0055-0.0155],(25.25-31],(499.75-538.45],one,(0.464-0.537],(27.149994-40.699982],lake,(1.138-2.313],(46.198318-46.492615],(-90.859406--89.315124],(0.0005-0.01025],(0.0005-0.0075],one,(0.8845-0.8855],10,(4.465-5.265],low
(61.1-83.95],(1.588-1.9185],(0.0055-0.0155],(39.5-45.75],(499.75-538.45],many,(0.3005-0.352],(159.999939-inf),lake,(2.313-6.572],(43.793045-44.623596],(-75.410675--73.224945],(0.0505-0.086],(0.1165-0.201],one,(0.8855-0.9455],25,(4.465-5.265],low
(38.95-47.2],(1.245-1.588],(0.0155-0.0345],(31-39.5],(373.7-417.15],zero,(1.395-inf),(14.649997-19.499992],lake,(0.762-1.138],(45.331924-45.828033],(-91.773162--90.859406],(0.1355-inf),(0.201-0.422],zero,(0.808-0.8665],5,(3.535-3.9655],low
(61.1-83.95],(0.9225-1.245],(0.0055-0.0155],(25.25-31],(118.45-216.7],zero,(-inf-0.23375],(-inf-5.649997],pond,(-inf-0.0585],(44.623596-45.331924],(-69.28537-inf),(0.02575-0.03025],(0.0585-0.0805],one,(0.9615-1.0045],20,(2.255-2.655],low
(23.95-30.55],(0.9225-1.245],(0.0155-0.0345],(25.25-31],(499.75-538.45],zero,(0.736-0.9245],(11.649997-14.649997],lake,(0.4375-0.762],(45.331924-45.828033],(-89.315124--86.188843],(0.086-0.1355],(0.0585-0.0805],zero,(0.8855-0.9455],10,(2.655-3.075],low
(166.8-inf),(2.8045-3.6165],(0.0155-0.0345],(64.5-99.5],(499.75-538.45],zero,(0.537-0.6305],(-inf-5.649997],pond,(0.0585-0.0985],(44.623596-45.331924],(-73.224945--71.53537],(0.0395-0.0505],(0.01525-0.02575],one,(1.217-inf),20,(3.9655-4.465],low
(83.95-113.6],(1.9185-2.2605],(0.0055-0.0155],(25.25-31],(499.75-538.45],zero,(0.352-0.4055],(9.349994-11.649997],pond,(0.2965-0.4375],(43.793045-44.623596],(-75.410675--73.224945],(0.03025-0.0395],(0.0005-0.0075],one,(0.8855-0.9455],20,(4.465-5.265],low
(11.4-17.2],(1.588-1.9185],(0.0345-0.0645],(25.25-31],(333.278-373.7],zero,(0.736-0.9245],(-inf-5.649997],lake,(0.0585-0.0985],(44.623596-45.331924],(-91.773162--90.859406],(0.086-0.1355],(-inf-0.0005],zero,(0.808-0.8665],5,(2.655-3.075],low
(166.8-inf),(2.2605-2.8045],(0.0155-0.0345],(39.5-45.75],(499.75-538.45],one,(0.464-0.537],(27.149994-40.699982],lake,(0.762-1.138],(43.793045-44.623596],(-75.410675--73.224945],(0.086-0.1355],(0.201-0.422],one,(0.8855-0.9455],25,(5.265-6.1535],low
(38.95-47.2],(1.9185-2.2605],(0.0155-0.0345],(45.75-64.5],(417.15-467.75],zero,(0.537-0.6305],(5.649997-7.349998],lake,(0.4375-0.762],(44.623596-45.331924],(-90.859406--89.315124],(-inf-0.0005],(0.02575-0.0395],zero,(0.8665-0.8845],10,(3.535-3.9655],low
(83.95-113.6],(1.9185-2.2605],(0.0055-0.0155],(64.5-99.5],(417.15-467.75],zero,(0.352-0.4055],(5.649997-7.349998],pond,(0.0585-0.0985],(36.921371-41.646378],(-75.410675--73.224945],(0.01025-0.0175],(0.0395-0.0585],one,(0.8855-0.9455],20,(5.265-6.1535],low
(83.95-113.6],(2.8045-3.6165],(0.1045-0.183],(64.5-99.5],(37.35-118.45],one,(0.464-0.537],(14.649997-19.499992],pond,(0.1475-0.206],(43.793045-44.623596],(-69.28537-inf),(0.0395-0.0505],(0.01525-0.02575],one,(0.808-0.8665],20,(1.565-2.255],low
(23.95-30.55],(0.9225-1.245],(0.0055-0.0155],(9-10.5],(373.7-417.15],one,(0.6305-0.736],(27.149994-40.699982],pond,(1.138-2.313],(42.530548-43.793045],(-73.224945--71.53537],(0.02075-0.02575],(0.02575-0.0395],zero,(1.0045-1.094],25,(5.265-6.1535],low
(83.95-113.6],(1.588-1.9185],(0.0055-0.0155],(10.5-15.5],(538.45-inf),one,(-inf-0.23375],(-inf-5.649997],pond,(0.0985-0.1475],(44.623596-45.331924],(-70.56662--69.28537],(0.02075-0.02575],(0.01525-0.02575],one,(0.9615-1.0045],25,(3.9655-4.465],low
(166.8-inf),(2.2605-2.8045],(0.0155-0.0345],(39.5-45.75],(467.75-499.75],few,(0.352-0.4055],(27.149994-40.699982],lake,(0.2965-0.4375],(42.530548-43.793045],(-75.410675--73.224945],(0.0505-0.086],(0.201-0.422],one,(0.8855-0.9455],30,(5.265-6.1535],low
(17.2-23.95],(1.9185-2.2605],(0.0645-0.1045],(20.5-25.25],(-inf-37.35],zero,(0.23375-0.3005],(14.649997-19.499992],lake,(0.2965-0.4375],(-inf-36.921371],(-82.676361--75.410675],(0.02575-0.03025],(0.0395-0.0585],zero,(1.094-1.217],5,(5.265-6.1535],low
(61.1-83.95],(2.2605-2.8045],(0.0155-0.0345],(45.75-64.5],(37.35-118.45],one,(0.537-0.6305],(40.699982-77.649963],pond,(1.138-2.313],(42.530548-43.793045],(-71.53537--70.56662],(0.0175-0.02075],(0.0075-0.01525],zero,(1.0045-1.094],15,(4.465-5.265],low
(113.6-166.8],(6.7075-11.93],(0.1045-0.183],(99.5-inf),(-inf-37.35],few,(1.395-inf),(14.649997-19.499992],lake,(0.1475-0.206],(36.921371-41.646378],(-71.53537--70.56662],(0.1355-inf),(0.422-inf),one,(0.9455-0.9615],20,(7.833-inf),low
(11.4-17.2],(-inf-0.9225],(0.0005-0.0055],(20.5-25.25],(417.15-467.75],zero,(0.537-0.6305],(5.649997-7.349998],lake,(0.0585-0.0985],(46.198318-46.492615],(-91.773162--90.859406],(0.0395-0.0505],(0.01525-0.02575],zero,(0.8665-0.8845],10,(-inf-1.565],low
(23.95-30.55],(0.9225-1.245],(0.0155-0.0345],(39.5-45.75],(373.7-417.15],zero,(0.9245-1.395],(19.499992-27.149994],lake,(0.762-1.138],(45.331924-45.828033],(-91.773162--90.859406],(0.1355-inf),(0.0585-0.0805],zero,(0.808-0.8665],5,(1.565-2.255],low
(83.95-113.6],(1.245-1.588],(0.0005-0.0055],(45.75-64.5],(417.15-467.75],zero,(0.3005-0.352],(27.149994-40.699982],lake,(0.0985-0.1475],(47.594848-inf),(-inf--91.773162],(-inf-0.0005],(0.01525-0.02575],one,(0.7755-0.808],5,(2.255-2.655],low
(11.4-17.2],(0.9225-1.245],(0.0055-0.0155],(-inf-9],(417.15-467.75],zero,(0.736-0.9245],(7.349998-9.349994],lake,(0.2965-0.4375],(47.594848-inf),(-inf--91.773162],(0.0395-0.0505],(0.0395-0.0585],zero,(0.7755-0.808],5,(3.535-3.9655],low
(11.4-17.2],(0.9225-1.245],(0.0155-0.0345],(25.25-31],(284.25-333.278],zero,(0.464-0.537],(9.349994-11.649997],lake,(0.206-0.2965],(45.828033-46.198318],(-inf--91.773162],(-inf-0.0005],(-inf-0.0005],zero,(0.808-0.8665],5,(1.565-2.255],low
(23.95-30.55],(2.8045-3.6165],(0.0005-0.0055],(99.5-inf),(-inf-37.35],zero,(0.352-0.4055],(40.699982-77.649963],lake,(0.762-1.138],(-inf-36.921371],(-82.676361--75.410675],(0.0175-0.02075],(0.0585-0.0805],zero,(1.094-1.217],5,(1.565-2.255],low
(61.1-83.95],(1.245-1.588],(0.0155-0.0345],(64.5-99.5],(538.45-inf),zero,(-inf-0.23375],(11.649997-14.649997],lake,(0.0585-0.0985],(47.594848-inf),(-91.773162--90.859406],(0.086-0.1355],(0.422-inf),one,(0.7755-0.808],10,(1.565-2.255],low
(113.6-166.8],(1.245-1.588],(0.0055-0.0155],(64.5-99.5],(417.15-467.75],one,(0.464-0.537],(14.649997-19.499992],lake,(0.206-0.2965],(47.594848-inf),(-inf--91.773162],(0.0005-0.01025],(0.0585-0.0805],one,(0.7755-0.808],5,(2.655-3.075],low
(30.55-38.95],(0.9225-1.245],(0.0055-0.0155],(9-10.5],(37.35-118.45],zero,(0.3005-0.352],(7.349998-9.349994],lake,(0.206-0.2965],(44.623596-45.331924],(-69.28537-inf),(0.0175-0.02075],(-inf-0.0005],one,(1.217-inf),25,(3.075-3.535],low
(38.95-47.2],(1.588-1.9185],(0.0345-0.0645],(31-39.5],(417.15-467.75],zero,(0.23375-0.3005],(11.649997-14.649997],lake,(0.4375-0.762],(47.594848-inf),(-inf--91.773162],(0.1355-inf),(0.0395-0.0585],zero,(0.7755-0.808],5,(2.655-3.075],low
(38.95-47.2],(1.245-1.588],(0.0055-0.0155],(31-39.5],(373.7-417.15],zero,(0.23375-0.3005],(7.349998-9.349994],lake,(0.206-0.2965],(47.594848-inf),(-inf--91.773162],(0.0395-0.0505],(-inf-0.0005],one,(-inf-0.7755],5,(2.655-3.075],low
